종목코드,종목명,전일종가,전일대비,목표주가,ROE [%],부채비율 [%],영업이익률 [%],PBR(FY0) [배]
A054780,?키이스트,"?4,830",?0.00,,?-9.16,?41.9,?-2.84,?2.46
A219130,?타이거일렉,"?14,750",?0.27,,?-4.73,?34.75,?-6.33,?2.39
A360070,?탑머티리얼,"?29,450",?1.73,,?13.95,?30.63,?11.28,?3.1
A044490,?태웅,"?11,400",?-1.13,,?6.87,?45.04,?8.91,?0.66
A001420,?태원물산,"?3,665",?-0.54,,?-0.28,?29.1,?-8.8,?1.26
A045340,?토탈소프트,"?9,330",?0.00,,?18.58,?60.05,?22.46,?1.73
A417790,?트루엔,"?9,950",?-1.00,,?15.59,?6.72,?24.14,?1.41
A064760,?티씨케이,"?73,100",?-1.88,,?14,?8.12,?29.43,?2.84
A246710,?티앤알바이오팹,"?4,220",?-0.35,,?-38.09,?219.95,?-244.73,?6.16
A131100,?티엔엔터테인먼트,"?1,320",?-1.79,,?-25.5,?94.91,?9,?1.08
A004870,?티웨이홀딩스,?723,?-2.30,,?2.75,?29.3,?-38.67,?0.31
A104480,?티케이케미칼,"?1,663",?-2.18,,?-0.94,?44.54,?-7.69,?0.17
A081150,?티플랙스,"?3,230",?3.69,,?-1.41,?49.05,?-0.61,?0.5
A005690,?파미셀,"?9,450",?10.53,,?4.56,?15.08,?2.3,?4.52
A037070,?파세코,"?5,110",?0.59,,?0.74,?29.92,?-0.84,?1.94
A054300,?팬스타엔터프라이즈,?495,?0.61,,?0.55,?81.77,?2.36,?0.89
A222110,?팬젠,"?5,850",?2.27,,?-30.14,?65.06,?-57.76,?5.85
A010820,?퍼스텍,"?3,120",?0.48,,?7.77,?325.23,?1.45,?2.53
A087010,?펩트론,"?98,600",?-1.30,,?-35.68,?45.31,?-475.3,?23.05
A119500,?포메탈,"?3,590",?7.81,,?3.92,?33.17,?3.01,?0.91
A009520,?포스코엠텍,"?12,820",?-0.08,,?4.23,?33.84,?1.31,?10.56
A331380,?포커스에이치엔에스,"?2,025",?0.75,,?11.31,?60.09,?4.45,?1.74
A041910,?폴라리스AI파마,"?5,720",?-3.05,,?3.3,?5.42,?8.32,?0.7
A007330,?푸른저축은행,"?8,360",?-0.12,,?5.05,?354.45,?10.53,?0.4
A093380,?풍강,"?2,405",?0.42,,?-1.37,?29.56,?1.24,?0.48
A370090,?퓨런티어,"?28,000",?0.18,,?17.2,?22.54,?15.39,?5.57
A445180,?퓨릿,"?6,150",?3.54,,?19.82,?19.13,?10.66,?2.2
A334970,?프레스티지바이오로직스,"?5,140",?0.39,,?-34.26,?303.75,?-1541.23,?3.42
A303360,?프로티아,"?2,955",?-1.50,,?2.34,?6.84,?1.99,?1.79
A367000,?플래티어,"?4,125",?-1.20,,?-7.23,?26.49,?-13.64,?1.62
A237820,?플레이디,"?5,910",?-0.67,,?3.6,?66.72,?6.79,?1.03
A023770,?플레이위드,"?3,380",?-0.29,,?-21.71,?67.5,?-23.28,?1.89
A033790,?피노,"?5,190",?-2.08,,?-8.62,?11.25,?-30.49,?1.17
A032580,?피델릭스,"?1,268",?-0.16,,?2.14,?14.94,?1.35,?1.08
A051380,?피씨디렉트,"?2,680",?-1.29,,?1.75,?113.49,?1.08,?1.59
A237750,?피앤씨테크,"?4,175",?0.24,,?5.19,?31.04,?13.13,?0.51
A239890,?피엔에이치테크,"?8,710",?1.16,,?14.35,?42.49,?16.19,?4.84
A257370,?피엔티엠에스,"?3,670",?-0.68,,?-12.39,?110.25,?-4.24,?4.14
A147760,?피엠티,"?3,060",?-3.62,,?-11.45,?50.91,?-15.94,?1.23
A006140,?피제이전자,"?4,865",?0.00,,?4.97,?49.04,?4.44,?0.8
A376180,?피코그램,"?2,440",?0.00,,?13.28,?92.29,?5.51,?2.78
A087600,?픽셀플러스,"?6,430",?-1.08,,?-0.51,?25.9,?-12.4,?0.55
A291810,?핀텔,"?1,911",?1.65,,?-6.06,?25,?-20.99,?2.18
A417180,?핑거스토리,"?2,570",?-0.77,,?9.06,?40.36,?7.5,?2.26
A293480,?하나제약,"?10,780",?-0.92,,?8.17,?25.33,?12.04,?0.86
A101670,?하이드로리튬,"?2,040",?-0.49,,?-65.4,?48.2,?-156.73,?4.31
A365590,?하이딥,?710,?0.85,,?-55.8,?69.39,?-82.17,?13.43
A106190,?하이텍팜,"?15,080",?-0.33,,?7.81,?26.23,?13.14,?0.93
A019490,?하이트론,"?3,270",?5.31,,?-136.62,?289.85,?-119,?4.27
A066130,?하츠,"?5,540",?-1.25,,?6.04,?41.53,?4.06,?0.69
A002960,?한국쉘석유,"?314,500",?-0.32,,?31.27,?49.32,?13.2,?2.33
A101680,?한국정밀기계,"?2,750",?-2.31,,?-17.37,?116.95,?-16.04,?0.52
A025890,?한국주강,"?1,895",?-1.56,,?7.95,?33.98,?4.5,?1.01
A104700,?한국철강,"?8,190",?0.49,,?8.26,?14.17,?9.56,?0.32
A062970,?한국첨단소재,"?8,060",?-10.54,,?-66.67,?233.99,?-20.97,?2.43
A007280,?한국특강,"?1,691",?0.06,,?13.2,?147.68,?5.7,?0.48
A032300,?한국파마,"?16,040",?-0.62,,?0.13,?76.87,?7.53,?3.76
A037230,?한국팩키지,"?1,799",?-0.33,,?4.68,?111.03,?3.75,?0.55
A003350,?한국화장품제조,"?52,800",?1.93,,?14.58,?69.46,?8.25,?1.96
A052600,?한네트,"?4,740",?0.85,,?6.81,?37.02,?13.39,?1.58
A011500,?한농화성,"?14,850",?-0.13,,?7.87,?46,?-1.14,?1.51
A256150,?한독크린텍,"?6,460",?0.16,,?9.67,?10.76,?8,?1.04
A452280,?한선엔지니어링,"?6,810",?1.49,,?12.04,?31.36,?12.97,?2.87
A003680,?한성기업,"?5,140",?-0.19,,?2.36,?349.01,?2.52,?0.64
A042520,?한스바이오메드,"?8,900",?0.11,,?-12.45,?81.33,?0.77,?1.83
A001750,?한양증권,"?11,520",?-0.60,,?7.4,?256.85,?30.11,?0.25
A320000,?한울반도체,"?3,090",?15.30,,?6.64,?60.14,?2.46,?1.61
A006390,?한일현대시멘트,"?13,600",?-0.22,,?9.29,?114.41,?9.51,?0.77
A079170,?한창산업,"?6,820",?0.00,,?2.52,?38.39,?2.34,?0.69
A009460,?한창제지,?741,?-3.64,,?-17.37,?217.34,?-4.16,?0.61
A082740,?한화엔진,"?21,950",?0.46,,?-0.19,?407.19,?1.02,?3.12
A059270,?해성에어로보틱스,"?6,520",?5.84,,?-1.93,?9.44,?-10.93,?2.11
A004310,?현대약품,"?3,705",?0.00,,?7.15,?82.64,?3.83,?1.2
A039010,?현대에이치티,"?6,240",?-1.11,,?-1.41,?42.4,?-0.62,?0.53
A138360,?협진,?625,?0.32,,?-4.91,?40.59,?-22.35,?0.98
A011080,?형지I&C,"?1,280",?-4.55,,?6.28,?99.89,?1,?0.77
A003010,?혜인,"?5,240",?2.54,,?6.64,?121.2,?3.31,?0.59
A126640,?화신정공,"?1,469",?-2.00,,?8.22,?66.96,?2.42,?0.52
A061250,?화일약품,"?1,335",?-1.48,,?2.21,?6.62,?1.67,?0.82
A010660,?화천기계,"?2,740",?0.37,,?0.58,?21.78,?-1.88,?0.62
A005870,?휴니드,"?8,100",?0.37,,?11.69,?85.26,?7.59,?0.51
A078590,?휴림에이텍,?586,?-1.18,,?21,?24.81,?7.56,?1.49
A200670,?휴메딕스,"?39,900",?-0.75,,?14.72,?11.06,?24.5,?1.68
A024060,?흥구석유,"?13,310",?0.00,,?1.42,?16,?0.07,?1.5
A000540,?흥국화재,"?3,425",?0.74,,?15.99,?784.23,?16.15,?0.15
