종목코드,종목명,전일종가,전일대비,목표주가,ROE [%],부채비율 [%],영업이익률 [%],PBR(FY0) [배]
A024090,?디씨엠,"?11,340",?0.53,,?-4.05,?14.08,?4.15,?0.49
A092070,?디엔에프,"?10,150",?-4.25,,?3.38,?6.82,?-3.4,?1.79
A219550,?디와이디,?662,?-5.29,,?-45.56,?95.59,?-11.67,?1.13
A043360,?디지아이,"?1,977",?-0.05,,?-4.93,?10.71,?-16.01,?0.62
A383930,?디티앤씨알오,"?5,750",?-3.20,,?-42.66,?88.92,?-45.61,?7.29
A315640,?딥노이드,"?6,000",?0.00,,?-36.28,?26.66,?-347.99,?8.81
A232680,?라온테크,"?7,210",?1.41,,?8.24,?64.52,?5.74,?3.87
A418420,?라온텍,"?3,765",?-0.26,,?-49.02,?66.68,?-20.04,?13.6
A388790,?라이콤,"?3,360",?1.82,,?-27.51,?25.27,?-10.9,?3.32
A294140,?레몬,"?3,115",?1.63,,?-63.7,?68.69,?-111.57,?5.65
A067730,?로지시스,"?2,790",?-1.24,,?3.03,?44.98,?1.5,?2.05
A000400,?롯데손해보험,"?2,100",?-1.41,,?19.72,?1081.55,?23.69,?0.59
A071840,?롯데하이마트,"?7,490",?0.00,,?-2.78,?89.69,?0.32,?0.19
A058470,?리노공업,"?205,000",?0.24,,?21.12,?4.63,?44.75,?5.52
A073570,?리튬포어스,"?1,590",?0.06,,?-120.58,?34.27,?-43.55,?1.73
A377450,?리파인,"?12,630",?0.08,,?14.55,?9.01,?33.92,?0.84
A195500,?마니커에프앤지,"?2,905",?-0.51,,?3.16,?59.83,?2.08,?0.73
A305090,?마이크로디지탈,"?10,600",?-0.28,,?8.34,?243.78,?8.12,?12.83
A424980,?마이크로투나노,"?6,980",?-3.86,,?-26.32,?59.99,?-134.17,?2.76
A001080,?만호제강,"?29,550",?-1.50,,?-22.06,?14.37,?-17.12,?0.99
A446540,?메가터치,"?3,270",?0.00,,?-0.24,?33.07,?-0.5,?2.12
A012690,?모나리자,"?3,075",?0.00,,?11.51,?19.39,?5,?1.18
A333050,?모코엠시스,"?1,314",?0.38,,?5.45,?42.11,?2.87,?1.55
A008420,?문배철강,"?2,350",?0.43,,?10.55,?25.95,?-2.1,?0.34
A007120,?미래아이앤지,?888,?0.68,,?-14.58,?45.27,?24.82,?0.63
A134380,?미원화학,"?79,500",?0.38,,?15.74,?14.04,?10.71,?1
A418470,?밀리의서재,"?13,790",?0.36,,?44.55,?36.4,?18.39,?2.51
A314930,?바이오다인,"?16,590",?0.00,,?-2.27,?1.39,?-50.16,?7.46
A086820,?바이오솔루션,"?22,300",?-3.04,,?-2.91,?119.03,?-40.38,?3.74
A251120,?바이오에프디엔씨,"?14,120",?0.21,,?10.01,?7.16,?32.29,?1.99
A199730,?바이오인프라,"?6,810",?2.41,,?7.72,?38.35,?4.33,?1.71
A003610,?방림,"?4,110",?-2.03,,?0.41,?22.12,?-2.96,?0.65
A424760,?벨로크,?942,?10.05,,?-24.14,?42.3,?-1.39,?1.13
A002760,?보락,"?1,122",?0.54,,?1.77,?18.76,?1.08,?1.61
A006910,?보성파워텍,"?2,625",?0.19,,?5.26,?13.88,?4.27,?1.88
A026940,?부국철강,"?2,395",?-0.21,,?2.8,?17.84,?1.26,?0.64
A005030,?부산주공,?486,?0.00,,?-24.58,?1094.5,?0.15,?1.92
A064480,?브리지텍,"?5,670",?-1.05,,?6.99,?46.22,?7.77,?1.58
A419540,?비스토스,"?1,745",?0.98,,?4.68,?16.15,?1.33,?2.7
A413640,?비아이매트릭스,"?8,160",?-1.09,,?-8.79,?51.45,?-10.44,?2.43
A335890,?비올,"?8,160",?1.37,,?44.89,?11.83,?52.48,?8.25
